crvUSD (ERC20)	crvusd	ERC20
Cryowar (SOL)	CWAR	SOL
Cryptex (ERC20)	ctx	ERC20
Crypto Asset Governance Alliance (ERC20)	caga	ERC20
CryptoAutos  (ERC20)	autos	ERC20
Crypto-com (ERC20)	cro	ERC20
CryptoTradingFund (MATIC)	ctf	MATIC
CSTAR (BEP20)	cstar	BEP20
Ctomorrow Platform (BEP20)	ctp	BEP20
CUDIS (BEP20)	cudis	BEP20
CUDOS (ERC20)	cudos	ERC20
Curve DAO (ERC20)	crv	ERC20
Curve DAO Token (Arbitrum One)	crv	Arbitrum
Curve DAO Token (MATIC)	crv	MATIC
Curve (KCC)	crv	KCC
CyberConnect (BEP20)	cyber	BEP20
CyberConnect (ERC20)	cyber	ERC20
CyberConnect (Optimism)	cyber	Optimism
Cyclone Protocol (BEP20)	cyc	BEP20
Daddy Tate (SOL)	DADDY	SOL
Dai (Arbitrum One)	dai	Arbitrum
DAI (Base)	dai	base
Dai (BSC)	dai	BEP20
Dai (ERC20)	dai	ERC20
Dai (Optimism)	dai	Optimism
Dai (Polygon)	dai	MATIC
DAO Maker (BEP20)	dao	BEP20
DAO Maker (ERC20)	dao	ERC20
DappRadar (ERC20)	radar	ERC20
Dark Eclipse (BEP20)	dark	BEP20
Dark Eclipse (SOL)	dark	SOL
DAR Open Network (Binance Smart Chain) (BEP20)	d	BEP20
DAR Open Network (Ethereum) (ERC20)	d	ERC20
Darwin (SOL)	darwin	SOL
Dash 2 Trade (ERC20)	d2t	ERC20
Dash	dash	Mainnet
DBX (ERC20)	dbx	ERC20
DEAPcoin (BEP20)	dep	BEP20
DEAPcoin (ERC20)	dep	ERC20
DeBridge (SOL)	dbr	SOL
Decentraland (BEP20)	mana	BEP20
Decentraland (ERC20)	mana	ERC20
Decentralized Social (MAINNET)	deso	MAINNET
Decentrawood (MATIC)	deod	MATIC
Dechat (BEP20)	dechat	BEP20
Decimated (SOL)	dio	SOL
Decred	dcr	Mainnet
Decubate (BEP20)	dcb	BEP20
DeepBook Protocol (SUI)	deep	SUI
Deeper Network (BEP20)	dpr	BEP20
Deeper Network (BSC)	DPR	BSC
Deeper Network (ERC20)	DPR	ETH
DeepFakeAI (ERC20)	fakeai	ERC20
DeFiChain (BEP20)	dfi	BEP20
DeFiChain (ERC20)	dfi	ERC20
DeFiChain (MAINNET)	dfi	MAINNET
DeFi For You (BEP20)	dfy	BEP20
DeFinity Markets (ERC20)	defx	ERC20
DeFi Pulse Index (ERC20)	dpi	ERC20
Defispot (ERC20)	SPOT	ETH
DeFrogs (ERC20)	defrogs	ERC20
Degen (BASE)	degen	BASE
Degen Spartan AI (SOL)	degenai	SOL
Degen Zoo (ERC20)	dzoo	ERC20
Dego Finance (BEP20)	dego	BEP20
Dego Finance (ERC20)	DEGO	ETH
Dejitaru Tsuka (ERC20)	tsuka	ERC20
Delysium (BEP20)	agi	BEP20
Delysium (ERC20)	AGI	ETH
Dent (ERC20)	dent	ERC20
Dero	dero	Mainnet
Destra Network (ERC20)	dsync	ERC20
dEURO (ERC20)	DEURO	ERC20
DEUSD (ERC20)	deusd	ERC20
Devomon (BEP20)	evo	BEP20
Devve (ERC20)	devve	ERC20
DexCheck (BEP20)	dck	BEP20
DeXe (BEP20)	dexe	BEP20
DeXe (ERC20)	dexe	ERC20
DexGame (ERC20)	dxgm	ERC20
DFDV xStock (SOL)	dfdvx	SOL
DFI.Money (BEP20)	yfii	BEP20
DfiStarter (DFI)	DFI	DFI
dForce (BEP20)	df	BEP20
dForce (ERC20)	df	ERC20
DFX Finance (ERC20)	dfx	ERC20
Dfyn Network (ERC20)	DFYN	ETH
Dfyn Network (MATIC)	dfyn	MATIC
DIA (BEP20)	dia	BEP20
DIA (ERC20)	dia	ERC20
DIAM (BEP20)	diam	BEP20
DigiByte (Mainnet)	dgb	Mainnet
Digimon (SOL)	digimon	SOL
Dimitra (ERC20)	DMTR	ETH
DIMO (ERC20)	dimo	ERC20
DIN (BEP20)	din	BEP20
DinoLFG (ERC20)	dino	ERC20
Dione Protocol (MAINNET)	dione	MAINNET
district0x (ERC20)	dnt	ERC20
DIVI (ERC20)	divi	ERC20
DIVI (Mainnet)	divi	Mainnet
dKargo (ERC20)	DKA	ETH
Dmail (BSC)	DMAIL	BSC
Dmail (ERC20)	DMAIL	ETH
DOCK (DOCK)	DOCK	DOCK
DOCK (MAINNET)	dock	MAINNET
DoctorX (EGLD)	drx	EGLD
DODO (BEP20)	dodo	BEP20
DODO (ERC20)	dodo	ERC20
Dogebonk (BEP20)	dobo	BEP20
Dogechain (MAINNET)	dc	MAINNET
Dogecoin (BEP20)	doge	BEP20
Dogecoin	doge	Mainnet
Dogelon Mars (ERC20)	elon	ERC20
DOGINME (BASE)	doginme	BASE
DOGS (Toncoin)	dogs	TON
dogwifhat (SOL)	wif	SOL
Dohrnii (ERC20)	dhn	ERC20
DOJO Protocol (SOL)	DOAI	SOL
Doland Tremp (SOL)	TREMP	SOL
Dolomite (BERACHAIN)	dolo	BERACHAIN
Dolomite (BERA)	dolo	BERA
Dolomite (ERC20)	dolo	ERC20
DOLZ (MATIC)	dolz	MATIC
Domani Protocol (ERC20)	dextf	ERC20
Doodles (SOL)	dood	SOL
Dopex (ARBITRUM)	dpx	ARBITRUM
DOSE (ERC20)	dose	ERC20
Dosetoken (ERC20)	DOSE	ETH
dotmoovs (ERC20)	moov	ERC20
dovu (HEDERA)	dovu	HEDERA
DragonChain (ERC20)	drgn	ERC20
Dragon Sun (TRC20)	drgnsun	TRC20
Dreams Quest (BEP20)	dreams	BEP20
Drift (SOL)	drift	SOL
